,1. Menjadi marah karena hal-hal kecil/sepele ,6. Cenderung bereaksi berlebihan pada situasi ,8. Kesulitan untuk relaksasi/bersantai ,11. Mudah merasa kesal ,12. Merasa banyak menghabiskan energi karena cemas ,14. Tidak sabaran ,18. Ketakutan tanpa alasan yang jelas ,22. Tidak dapat menikmati hal-hal yang saya lakukan ,27. Kesulitan untuk tenang setelah sesuatu yang mengganggu ,29. Sulit untuk antusias pada banyak hal ,32. Merasa tidak berharga ,33. Tidak dapat memaklumi hal apapun yang menghalangi anda untuk menyelesaikan hal yang sedang Anda lakukan ,35. Tidak ada harapan untuk masa depan ,39. Anda Sering Gemetar (bukan karena penyakit fisik),Skor stress,Keterangan
41,1,1,2,0,3,1,3,3,3,3,3,3,0,2,28,Parah
42,1,2,2,2,3,2,2,2,2,2,3,0,2,1,26,Parah
43,1,1,0,1,2,1,0,1,1,1,1,1,1,1,13,Ringan
44,0,0,2,0,0,1,0,1,0,2,0,0,0,0,6,Normal
45,0,0,3,1,3,3,0,1,3,1,0,0,0,0,15,Sedang
46,1,1,2,1,2,1,3,1,3,1,2,2,1,0,21,Sedang
47,0,0,2,3,2,1,1,1,1,0,1,2,2,0,16,Sedang
48,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Normal
49,2,1,3,2,3,2,3,3,3,3,3,1,2,2,33,Parah
50,1,1,2,1,2,0,3,2,2,1,0,0,0,0,15,Sedang
51,1,1,1,3,3,1,2,1,1,3,0,1,0,0,18,Sedang
52,2,3,0,2,0,3,1,0,2,1,0,0,0,0,14,Sedang
53,1,1,3,2,3,2,3,2,3,2,2,1,2,1,28,Parah
54,1,1,0,0,1,1,1,2,1,1,1,1,1,0,12,Ringan
55,0,1,0,1,1,1,0,0,0,0,0,0,0,0,4,Normal
56,0,1,0,1,0,1,1,1,1,1,0,1,0,1,9,Normal
57,1,1,0,1,1,1,2,1,1,1,0,1,0,0,11,Ringan
58,1,1,2,1,2,1,0,0,0,2,0,1,0,0,11,Ringan
59,0,0,1,0,0,0,0,0,1,1,1,0,0,2,6,Normal
60,1,1,1,1,2,2,1,1,2,1,0,1,0,0,14,Sedang
61,1,1,1,1,2,2,2,1,0,0,0,0,0,0,11,Ringan
62,2,1,1,1,0,1,0,1,1,3,0,2,0,0,13,Ringan
63,1,1,0,1,0,1,0,0,2,0,0,0,0,0,6,Normal
64,0,1,2,1,3,1,3,0,1,0,0,1,1,1,15,Sedang
65,0,1,1,0,2,0,2,2,2,1,0,0,0,0,11,Ringan
66,0,0,1,0,0,1,0,0,1,0,0,0,0,0,3,Normal
67,1,1,2,1,2,1,3,1,2,2,0,1,0,1,18,Sedang
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
69,1,0,1,1,0,0,0,0,0,1,3,0,0,0,7,Normal
70,1,0,0,1,1,1,0,1,1,1,0,1,0,0,8,Normal
71,1,1,2,1,2,1,2,1,3,0,0,1,1,1,17,Sedang
72,1,1,3,2,3,2,3,3,3,2,1,1,0,0,25,Sedang
73,1,1,2,1,1,1,0,1,2,1,0,1,0,0,12,Ringan
74,1,1,0,1,0,0,1,0,0,0,0,0,0,0,4,Normal
75,1,0,1,1,1,0,1,0,0,1,1,1,1,0,9,Normal
76,2,1,2,2,3,2,3,1,2,2,0,2,1,1,24,Sedang
77,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,Normal
78,0,1,0,0,0,1,0,0,1,0,0,2,0,0,5,Normal
79,2,2,3,3,2,2,3,2,3,1,2,1,2,2,30,Parah
80,1,1,2,2,3,1,0,2,3,2,3,3,3,2,28,Parah
81,1,0,0,2,0,1,0,0,0,2,0,0,0,0,6,Normal
82,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,Sedang
83,2,1,1,1,2,0,1,1,1,1,3,1,2,1,18,Sedang
84,2,1,1,0,0,2,0,1,1,0,1,1,0,0,10,Ringan
85,1,1,2,1,3,1,2,1,2,1,2,1,2,1,21,Sedang
86,1,1,1,1,2,0,2,1,3,1,1,0,0,1,15,Sedang
87,3,3,3,3,3,3,3,3,3,3,2,3,1,1,37,Sangat Parah
88,2,2,3,2,3,1,3,2,2,3,1,1,1,1,27,Parah
89,1,0,0,1,1,1,2,1,1,1,1,1,0,0,11,Ringan
90,2,1,1,1,2,0,3,0,0,1,0,0,0,2,13,Ringan
91,1,1,1,2,2,2,1,1,2,1,2,0,1,1,18,Sedang
92,2,1,3,3,3,3,3,3,3,3,3,3,3,3,39,Sangat Parah
93,2,1,2,2,3,1,2,1,3,2,1,2,1,0,23,Sedang
94,1,1,2,1,2,1,2,1,1,1,1,1,1,1,17,Sedang
95,1,2,2,1,3,1,3,1,2,3,1,1,0,0,21,Sedang
96,1,0,0,0,2,1,1,1,1,0,0,1,0,0,8,Normal
97,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,Normal
98,0,0,1,0,2,1,1,1,2,1,0,0,0,0,9,Normal
99,2,1,1,1,1,0,1,1,1,1,0,0,0,0,10,Ringan
